Seat Name
AYER HANGAT
KUAH
KOTA SIPUTEH
AYER HITAM
BUKIT KAYU HITAM
JITRA
KUALA NERANG
PEDU
BUKIT LADA
BUKIT PINANG
DERGA
BAKAR BATA
KOTA DARULAMAN
ALOR MENGKUDU
ANAK BUKIT
KUBANG ROTAN
PENGKALAN KUNDOR
TOKAI
SUNGAI TIANG
SUNGAI LIMAU
GUAR CHEMPEDAK
GURUN
BELANTEK
JENERI
BUKIT SELAMBAU
TANJONG DAWAI
PANTAI MERDEKA
BAKAR ARANG
SIDAM
BAYU
KUPANG
KUALA KETIL
MERBAU PULAS
LUNAS
KULIM
BANDAR BAHARU
PENAGA
BERTAM
PINANG TUNGGAL
PERMATANG BERANGAN
SUNGAI DUA
TELOK AYER TAWAR
SUNGAI PUYU
BAGAN JERMAL
BAGAN DALAM
SEBERANG JAYA
PERMATANG PASIR
PENANTI
BERAPIT
MACHANG BUBOK
PADANG LALANG
PERAI
BUKIT TENGAH
BUKIT TAMBUN
JAWI
SUNGAI BAKAP
SUNGAI ACHEH
TANJONG BUNGA
AIR PUTIH
KEBUN BUNGA
PULAU TIKUS
PADANG KOTA
PENGKALAN KOTA
KOMTAR
DATOK KERAMAT
SUNGAI PINANG
BATU LANCANG
SERI DELIMA
AIR ITAM
PAYA TERUBONG
BATU UBAN
PANTAI JEREJAK
BATU MAUNG
BAYAN LEPAS
PULAU BETONG
TELOK BAHANG
PENGKALAN KUBOR
KELABORAN
PASIR PEKAN
WAKAF BHARU
KIJANG
CHEMPAKA
PANCHOR
TANJONG MAS
KOTA LAMA
BUNUT PAYONG
TENDONG
PENGKALAN PASIR
CHETOK
MERANTI
GUAL PERIOK
BUKIT TUKU
SALOR
PASIR TUMBOH
DEMIT
TAWANG
PERUPOK
JELAWAT
MELOR
KADOK
KOK LANAS
BUKIT PANAU
GUAL IPOH
KEMAHANG
SELISING
LIMBONGAN
SEMERAK
GAAL
PULAI CHONDONG
TEMANGAN
KEMUNING
BUKIT BUNGA
AIR LANAS
KUALA BALAH
MENGKEBANG
GUCHIL
MANEK URAI
DABONG
NENGGIRI
PALOH
GALAS
KUALA BESUT
KOTA PUTERA
JERTIH
HULU BESUT
JABI
PERMAISURI
LANGKAP
BATU RAKIT
TEPUH
TELUK PASU
SEBERANG TAKIR
BUKIT TUNGGAL
WAKAF MEMPELAM
BANDAR
LADANG
BATU BURUK
ALUR LIMBAT
BUKIT PAYUNG
RU RENDANG
PENGKALAN BERANGAN
TELEMUNG
MANIR
KUALA BERANG
AJIL
BUKIT BESI
RANTAU ABANG
SURA
PAKA
KEMASEK
KIJAL
CHUKAI
AIR PUTIH
SUNGAI AYER TAWAR
SABAK
SUNGAI PANJANG
SEKINCHAN
ULU BERNAM
KUALA KUBU BAHRU
BATANG KALI
SUNGAI BURONG
PERMATANG
BUKIT MELAWATI
IJOK
JERAM
KUANG
RAWANG
TAMAN TEMPLAR
BATU CAVES
GOMBAK SETIA
ULU KELANG
BUKIT ANTARABANGSA
LEMBAH JAYA
CHEMPAKA
TERATAI
DUSUN TUA
SEMENYIH
KAJANG
BANGI
BALAKONG
SRI KEMBANGAN
SRI SERDANG
KINRARA
SUBANG JAYA
SERI SETIA
TAMAN MEDAN
BUKIT GASING
KAMPUNG TUNKU
DAMANSARA UTAMA
BUKIT LANJAN
PAYA JARAS
KOTA DAMANSARA
KOTA ANGGERIK
BATU TIGA
MERU
SEMENTA
SUNGAI PINANG
SELAT KLANG
PELABUHAN KLANG
PANDAMARAN
KOTA ALAM SHAH
SERI ANDALAS
SRI MUDA
SIJANGKANG
TELUK DATUK
MORIB
TANJONG SEPAT
DENGKIL
SUNGAI PELEK
CHENNAH
PERTANG
SUNGAI LUI
KLAWANG
SERTING
PALONG
JERAM PADANG
BAHAU
LENGGENG
NILAI
LOBAK
TEMIANG
SIKAMAT
AMPANGAN
JUASSEH
SERI MENANTI
SENALING
PILAH
JOHOL
LABU
BUKIT KEPAYANG
RAHANG
MAMBAU
SENAWANG
PAROI
CHEMBONG
RANTAU
KOTA
CHUAH
LUKUT
BAGAN PINANG
LINGGI
PORT DICKSON
GEMAS
GEMENCHEH
REPAH
OPAR
TASIK BIRU
TANJONG DATU
PANTAI DAMAI
DEMAK LAUT
TUPONG
SAMARIANG
SATOK
PADUNGAN
PENDING
BATU LINTANG
KOTA SENTOSA
BATU KAWAH
ASAJAYA
MUARA TUANG
BENGOH
TARAT
TEBEDU
KEDUP
SADONG JAYA
SIMUNJAN
SEBUYAU
LINGGA
BETING MARO
BALAI RINGIN
BUKIT BEGUNAN
SIMANGGANG
ENGKILILI
BATANG AIR
SARIBAS
LAYAR
BUKIT SABAN
KALAKA
KRIAN
BELAWAI
SEMOP
DARO
JEMORENG
REPOK
MERADONG
PAKAN
MELUAN
NGEMAH
MACHAN
BUKIT ASSEK
DUDONG
BAWANG ASSAN
PELAWAN
NANGKA
DALAT
BALINGIAN
TAMIN
KAKUS
PELAGUS
KATIBAS
BALEH
BELAGA
JEPAK
KIDURONG
KEMENA
BEKENU
LAMBIR
PIASAU
PUJUT
SENADIN
MARUDI
TELANG USAN
BATU KOTA
BATU DANAU
BA'KELALAN
BUKIT SARI
KUALA LINGGI
TANJONG BIDARA
AYER LIMAU
LENDU
TABOH NANING
REMBIA
GADEK
MACHAP
DURIAN TUNGGAL
ASAHAN
